temperature_2m_mean (°C),rain_sum (mm),wind_speed_10m_max (km/h),weather_code (wmo code),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),precipitation_hours (h),cloud_cover_mean (%),dew_point_2m_mean (°C),relative_humidity_2m_mean (%),wind_gusts_10m_mean (km/h),wind_gusts_10m_min (km/h),sin_day,had_precipitation
14.1,0.0,12.0,0,215,16.92,0,0,0.7,42,17.1,10.8,0.5230943033491326,0
14.3,0.0,11.9,0,74,17.19,0,0,1.1,45,15.1,7.9,0.5376773767406141,0
16.1,0.0,21.3,2,65,17.27,0,3,2.4,43,27.8,17.3,0.5521013427459208,0
17.9,0.0,18.3,3,90,17.7,0,32,4.0,46,18.9,9.7,0.5663619330814524,0
18.0,0.0,13.6,0,222,17.8,0,0,-1.6,31,19.9,11.9,0.580454927809098,0
15.5,0.0,9.7,3,347,16.08,0,29,9.3,72,14.5,9.0,0.5943761565849831,0
15.7,0.0,10.1,3,53,17.45,0,31,6.9,62,15.8,9.0,0.6081214998935418,0
19.0,0.0,20.5,3,173,16.12,0,85,2.3,37,22.4,10.1,0.6216868902665479,0
20.5,0.0,24.2,3,215,16.43,0,95,0.4,28,32.0,9.4,0.6350683134867438,0
14.9,0.2,34.9,51,273,15.14,1,45,1.7,42,43.9,20.5,0.6482618097757122,1
15.0,0.0,14.5,1,234,17.29,0,13,5.3,55,21.6,11.2,0.6612634749656386,0
15.9,0.0,12.3,3,196,18.21,0,29,2.5,44,18.9,6.1,0.6740694616546161,0
15.5,0.0,8.4,3,194,18.64,0,20,1.6,45,13.2,6.1,0.6866759803451553,0
17.0,0.0,19.4,0,214,18.65,0,1,1.0,37,22.4,11.9,0.6990793005655562,0
14.5,0.0,21.3,3,257,18.5,0,23,-1.6,34,25.1,11.2,0.7112757519738152,0
13.7,0.0,25.2,3,264,19.07,0,22,-0.7,38,25.2,10.8,0.7232617254437388,0
12.3,0.0,12.7,3,306,16.07,0,26,3.6,60,17.0,8.6,0.7350336741329413,0
14.1,0.0,13.3,2,83,18.78,0,6,1.8,49,17.7,10.8,0.746588114532413,0
18.2,0.0,35.3,3,220,18.78,0,26,-1.9,31,37.8,14.4,0.7579216274973472,0
15.3,0.0,23.2,1,260,18.44,0,13,4.5,53,28.5,11.2,0.7690308592589181,0
13.8,0.0,27.4,3,279,14.14,0,62,3.3,50,34.1,22.3,0.7799125224167177,0
13.3,0.0,22.7,3,269,15.6,0,45,3.6,55,24.9,9.0,0.7905633969115482,0
13.9,0.0,26.2,3,228,18.03,0,21,1.8,49,24.4,5.8,0.8009803309782905,0
14.4,0.0,15.4,1,233,20.13,0,4,0.8,43,21.4,5.8,0.8111602420785621,0
14.4,0.0,13.8,0,189,20.28,0,0,0.1,42,17.6,4.0,0.8211001178128892,0
16.1,0.0,29.0,2,223,20.39,0,7,-0.9,33,30.0,13.7,0.8307970168121247,0
12.3,0.7,28.3,51,277,16.18,2,30,5.0,64,35.9,13.3,0.8402480696078469,1
12.5,0.2,30.6,51,246,16.12,1,34,2.5,52,38.1,21.6,0.8494504794814806,1
12.9,0.5,29.1,51,298,17.68,3,25,3.8,59,36.1,19.4,0.8584015232918917,1
12.3,0.0,10.1,3,268,10.2,0,73,3.7,57,13.8,7.9,0.8670985522812081,0
14.4,0.0,9.5,0,303,21.08,0,0,2.1,49,13.9,4.7,0.8755389928586302,0
17.5,0.0,9.4,0,172,21.02,0,0,2.8,42,13.8,5.0,0.8837203473619977,0
20.4,0.0,11.9,3,153,16.35,0,67,0.9,31,18.4,11.2,0.8916401947968874,0
23.9,0.0,28.9,3,185,21.84,0,20,-4.0,17,37.8,17.6,0.8992961915530253,0
26.3,0.0,40.1,3,186,20.8,0,55,-3.9,14,45.2,27.0,0.9066860720977985,0
18.5,0.0,19.7,3,308,21.1,0,32,2.1,41,23.7,10.4,0.9138076496466615,0
15.1,0.0,25.4,3,277,21.65,0,10,0.2,38,27.2,7.9,0.9206588168102428,0
15.6,0.0,9.9,3,300,21.77,0,24,5.5,57,15.8,8.3,0.9272375462179537,0
17.8,0.0,15.7,3,23,22.43,0,30,4.8,46,20.3,11.5,0.9335418911179212,0
16.6,0.0,14.7,0,11,22.51,0,1,5.4,54,22.4,13.7,0.9395699859530622,0
16.6,0.0,25.3,1,304,22.61,0,1,5.0,54,25.1,8.3,0.945320046913132,0
15.3,0.0,15.9,2,296,18.8,0,19,5.3,55,25.0,13.7,0.9507903724625832,0
14.9,0.0,17.6,3,322,18.86,0,29,5.4,57,23.8,10.8,0.9559793438440766,0
14.6,0.0,18.6,0,13,23.11,0,1,2.6,49,25.0,10.1,0.9608854255574977,0
14.6,0.0,16.9,0,32,23.38,0,2,2.4,48,25.6,13.7,0.9655071658143364,0
15.2,0.0,13.5,0,14,23.24,0,0,3.2,49,20.7,12.6,0.969843196967294,0
16.4,0.1,16.4,51,51,18.61,1,37,3.9,47,20.8,9.0,0.9738922359149924,1
17.4,0.0,28.1,3,35,21.82,0,29,5.0,45,39.6,26.6,0.9776530844816641,0
15.6,0.0,13.1,0,354,24.18,0,1,3.8,52,21.9,13.0,0.981124629771712,0
17.1,0.0,9.0,2,59,24.34,0,7,-0.3,42,12.7,4.3,0.984305844499033,0
17.1,0.0,28.7,2,257,22.28,0,37,1.1,36,29.4,6.8,0.9871957872910085,0
14.6,0.0,20.1,3,283,15.75,0,42,4.5,52,26.9,13.3,0.9897936029670716,0
15.5,0.0,9.0,1,330,24.02,0,6,3.1,49,14.6,8.3,0.992098522791769,0
17.3,0.0,13.9,0,245,24.74,0,0,0.2,38,18.4,8.6,0.9941098647022418,0
16.5,0.0,28.5,1,280,24.87,0,3,4.8,52,30.4,7.2,0.9958270335100595,0
15.5,0.0,19.2,1,322,24.29,0,11,4.5,52,27.6,12.6,0.9972495210773451,0
16.0,0.0,18.4,1,359,24.33,0,6,3.5,49,27.0,14.0,0.998376906467142,0
16.4,0.0,16.8,3,34,24.9,0,4,3.5,47,25.7,11.9,0.9992088560679753,0
18.4,0.0,11.7,3,30,24.21,0,42,5.7,48,20.2,10.4,0.9997451236925734,0
20.1,0.0,15.5,3,36,24.0,0,31,1.2,33,20.8,8.6,0.9999855506507186,0
18.7,0.0,18.1,2,4,24.79,0,6,7.6,56,25.0,12.6,0.9999300657962057,0
19.9,0.0,16.5,2,349,25.05,0,7,8.3,53,22.0,9.0,0.9995786855478958,0
21.8,0.0,14.3,3,21,25.01,0,16,10.0,54,17.8,7.9,0.9989315138848577,0
25.7,0.0,19.2,3,111,24.42,0,25,6.8,35,25.4,15.5,0.9979887423155984,0
22.3,0.0,22.1,3,290,21.69,0,65,7.5,43,34.0,22.7,0.9967506498213929,0
20.2,0.0,16.6,2,30,25.11,0,8,4.8,42,23.6,16.9,0.9952176027737294,0
18.4,0.0,21.9,0,332,25.8,0,1,6.9,51,27.3,7.9,0.9933900548258936,0
17.7,0.0,14.8,1,326,25.12,0,4,7.0,54,21.2,9.4,0.9912685467787256,0
18.4,0.0,10.1,3,10,26.28,0,14,7.0,54,17.1,9.7,0.9888537064205885,0
22.3,0.0,15.5,3,78,25.47,0,24,5.8,41,19.7,10.8,0.986146248341595,0
25.0,0.0,17.3,1,250,24.49,0,9,3.0,28,24.5,12.2,0.9831469737221499,0
25.0,0.0,16.8,1,58,26.43,0,6,7.4,40,27.3,20.2,0.9798567700958665,0
25.6,0.0,32.4,2,313,25.48,0,21,5.4,30,30.4,11.5,0.9762766110869321,0
20.2,0.0,21.0,3,302,27.08,0,13,3.5,36,24.1,6.8,0.9724075561219968,0
18.8,0.0,22.2,0,303,26.33,0,2,7.7,53,26.7,10.1,0.9682507501166718,0
18.9,0.0,15.5,0,348,27.18,0,1,7.3,54,19.7,10.4,0.9638074231367307,0
20.0,0.0,20.9,0,42,27.69,0,0,4.1,45,28.2,15.1,0.9590788900341131,0
20.6,0.0,23.7,0,49,27.98,0,0,3.4,38,37.9,30.2,0.9540665500578387,0
22.1,0.0,18.2,0,46,27.79,0,0,6.3,43,29.9,23.8,0.9487718864399473,0
23.5,0.0,13.7,0,26,27.81,0,0,7.5,42,19.9,14.4,0.9431964659565866,0
25.8,0.0,20.3,3,5,27.96,0,15,5.5,33,24.4,15.1,0.9373419384643772,0
20.6,0.0,20.0,3,9,19.54,0,94,10.0,57,31.3,21.6,0.9312100364121947,0
20.1,0.0,17.1,3,27,10.49,0,100,9.2,53,28.4,18.4,0.9248025743285089,0
22.1,0.0,20.9,3,10,26.83,0,68,7.5,45,27.1,19.4,0.9181214482844364,0
19.9,0.0,21.2,3,12,24.16,0,49,10.1,58,29.1,19.4,0.9111686353326631,0
19.3,0.0,17.7,1,21,27.71,0,5,7.5,52,27.8,14.8,0.9039461929224011,0
20.8,0.0,15.8,3,38,27.27,0,62,7.7,50,25.9,14.8,0.8964562582905575,0
